experiment_id,model_name,episodes,wins,winrate,avg_returns,std_returns,avg_episode_steps,std_episode_steps,avg_win_steps,std_win_steps,final_epsilon,epsilon_start,scenario,algorithm,timestamp
exp_001,Model_1,6000,19,0.317,-96.517,61.802,24.98,0.42,18.842,4.246,0.2,0.5,tiny,q_learning,2025-07-13_17-49-01
exp_002,Model_2,6000,15,0.25,-97.25,54.931,24.988,0.331,20.0,4.351,0.2,0.5,tiny,q_learning,2025-07-13_17-49-01
exp_003,Model_3,6000,13,0.217,-97.617,51.147,24.988,0.339,19.615,4.923,0.2,0.5,tiny,q_learning,2025-07-13_17-49-01
exp_004,Model_4,6000,14,0.233,-97.433,53.073,24.982,0.452,17.143,5.083,0.2,0.5,tiny,q_learning,2025-07-13_17-49-01
exp_005,Model_5,6000,16,0.267,-97.067,56.728,24.986,0.378,19.688,5.034,0.2,0.5,tiny,q_learning,2025-07-13_17-49-01
exp_006,Model_6,6000,23,0.383,-95.783,67.975,24.978,0.443,19.304,4.358,0.2,0.5,tiny,q_learning,2025-07-13_17-49-01
exp_007,Model_7,6000,16,0.267,-97.067,56.728,24.991,0.223,21.625,2.713,0.2,0.5,tiny,q_learning,2025-07-13_17-49-01
exp_008,Model_8,6000,24,0.4,-95.6,69.431,24.974,0.53,18.583,5.415,0.2,0.5,tiny,q_learning,2025-07-13_17-49-01
exp_009,Model_9,6000,15,0.25,-97.25,54.931,24.984,0.399,18.533,4.674,0.2,0.5,tiny,q_learning,2025-07-13_17-49-01
exp_010,Model_10,6000,14,0.233,-97.433,53.073,24.988,0.345,19.786,4.902,0.2,0.5,tiny,q_learning,2025-07-13_17-49-01
