experiment_id,model_name,test_episodes,training_episodes,wins,detections,winrate,detection_rate,avg_returns,std_returns,avg_episode_steps,std_episode_steps,avg_win_steps,std_win_steps,avg_detected_steps,std_detected_steps,avg_max_steps_steps,std_max_steps_steps,current_epsilon,data_type,scenario,algorithm,timestamp
test_01000,Model_test_1000,250.0,1000,27,0,10.8,0.0,-100.0,0.0,100.0,0.0,100.0,0.0,,,0.0,0.0,0.8,test_checkpoint,unknown,q_learning,2025-09-14_19-47-59
test_02000,Model_test_2000,250.0,2000,52,0,20.8,0.0,-100.0,0.0,100.0,0.0,100.0,0.0,,,0.0,0.0,0.7000000000000001,test_checkpoint,unknown,q_learning,2025-09-14_19-47-59
test_03000,Model_test_3000,250.0,3000,185,0,74.0,0.0,-100.0,0.0,100.0,0.0,100.0,0.0,,,0.0,0.0,0.6,test_checkpoint,unknown,q_learning,2025-09-14_19-47-59
test_04000,Model_test_4000,250.0,4000,250,0,100.0,0.0,1000.0,0.0,6.0,0.0,6.0,0.0,,,,,0.5,test_checkpoint,unknown,q_learning,2025-09-14_19-47-59
test_01000,Model_test_1000,250.0,1000,16,0,6.4,0.0,1000.0,0.0,43.0,0.0,43.0,0.0,,,0.0,0.0,0.8,test_checkpoint,unknown,q_learning,2025-09-14_19-47-59
test_02000,Model_test_2000,250.0,2000,50,0,20.0,0.0,1000.0,0.0,33.0,0.0,33.0,0.0,,,0.0,0.0,0.7000000000000001,test_checkpoint,unknown,q_learning,2025-09-14_19-47-59
test_03000,Model_test_3000,250.0,3000,76,0,30.4,0.0,1000.0,0.0,76.0,0.0,76.0,0.0,,,0.0,0.0,0.6,test_checkpoint,unknown,q_learning,2025-09-14_19-47-59
test_04000,Model_test_4000,250.0,4000,70,0,28.0,0.0,-100.0,0.0,100.0,0.0,100.0,0.0,,,0.0,0.0,0.5,test_checkpoint,unknown,q_learning,2025-09-14_19-47-59
test_05000,Model_test_5000,250.0,5000,235,0,94.0,0.0,1000.0,0.0,41.0,0.0,41.0,0.0,,,0.0,0.0,0.4,test_checkpoint,unknown,q_learning,2025-09-14_19-47-59
test_06000,Model_test_6000,250.0,6000,250,0,100.0,0.0,1000.0,0.0,8.0,0.0,8.0,0.0,,,,,0.30000000000000004,test_checkpoint,unknown,q_learning,2025-09-14_19-47-59
test_01000,Model_test_1000,250.0,1000,30,0,12.0,0.0,-100.0,0.0,100.0,0.0,100.0,0.0,,,0.0,0.0,0.8,test_checkpoint,unknown,q_learning,2025-09-14_19-47-59
test_02000,Model_test_2000,250.0,2000,37,0,14.8,0.0,1000.0,0.0,88.0,0.0,88.0,0.0,,,0.0,0.0,0.7000000000000001,test_checkpoint,unknown,q_learning,2025-09-14_19-47-59
test_03000,Model_test_3000,250.0,3000,33,0,13.2,0.0,1000.0,0.0,40.0,0.0,40.0,0.0,,,0.0,0.0,0.6,test_checkpoint,unknown,q_learning,2025-09-14_19-47-59
test_04000,Model_test_4000,250.0,4000,231,0,92.4,0.0,-100.0,0.0,100.0,0.0,100.0,0.0,,,0.0,0.0,0.5,test_checkpoint,unknown,q_learning,2025-09-14_19-47-59
test_05000,Model_test_5000,250.0,5000,250,0,100.0,0.0,-100.0,0.0,100.0,0.0,100.0,0.0,,,,,0.4,test_checkpoint,unknown,q_learning,2025-09-14_19-47-59
test_01000,Model_test_1000,250.0,1000,20,0,8.0,0.0,-100.0,0.0,100.0,0.0,100.0,0.0,,,0.0,0.0,0.8,test_checkpoint,unknown,q_learning,2025-09-14_19-47-59
test_02000,Model_test_2000,250.0,2000,34,0,13.6,0.0,1000.0,0.0,64.0,0.0,64.0,0.0,,,0.0,0.0,0.7000000000000001,test_checkpoint,unknown,q_learning,2025-09-14_19-47-59
test_03000,Model_test_3000,250.0,3000,39,0,15.6,0.0,1000.0,0.0,75.0,0.0,75.0,0.0,,,0.0,0.0,0.6,test_checkpoint,unknown,q_learning,2025-09-14_19-47-59
test_04000,Model_test_4000,250.0,4000,108,0,43.2,0.0,1000.0,0.0,45.0,0.0,45.0,0.0,,,0.0,0.0,0.5,test_checkpoint,unknown,q_learning,2025-09-14_19-47-59
test_05000,Model_test_5000,250.0,5000,191,0,76.4,0.0,1000.0,0.0,9.0,0.0,9.0,0.0,,,0.0,0.0,0.4,test_checkpoint,unknown,q_learning,2025-09-14_19-47-59
test_06000,Model_test_6000,250.0,6000,250,0,100.0,0.0,1000.0,0.0,10.0,0.0,10.0,0.0,,,,,0.30000000000000004,test_checkpoint,unknown,q_learning,2025-09-14_19-47-59
test_01000,Model_test_1000,250.0,1000,32,0,12.8,0.0,-100.0,0.0,100.0,0.0,100.0,0.0,,,0.0,0.0,0.8,test_checkpoint,unknown,q_learning,2025-09-14_19-47-59
test_02000,Model_test_2000,250.0,2000,41,0,16.4,0.0,-100.0,0.0,100.0,0.0,100.0,0.0,,,0.0,0.0,0.7000000000000001,test_checkpoint,unknown,q_learning,2025-09-14_19-47-59
test_03000,Model_test_3000,250.0,3000,42,0,16.8,0.0,1000.0,0.0,47.0,0.0,47.0,0.0,,,0.0,0.0,0.6,test_checkpoint,unknown,q_learning,2025-09-14_19-47-59
test_04000,Model_test_4000,250.0,4000,132,0,52.8,0.0,-100.0,0.0,100.0,0.0,100.0,0.0,,,0.0,0.0,0.5,test_checkpoint,unknown,q_learning,2025-09-14_19-47-59
test_05000,Model_test_5000,250.0,5000,192,0,76.8,0.0,1000.0,0.0,9.0,0.0,9.0,0.0,,,0.0,0.0,0.4,test_checkpoint,unknown,q_learning,2025-09-14_19-47-59
test_06000,Model_test_6000,250.0,6000,250,0,100.0,0.0,1000.0,0.0,8.0,0.0,8.0,0.0,,,,,0.30000000000000004,test_checkpoint,unknown,q_learning,2025-09-14_19-47-59
test_01000,Model_test_1000,250.0,1000,21,0,8.4,0.0,-100.0,0.0,100.0,0.0,100.0,0.0,,,0.0,0.0,0.8,test_checkpoint,unknown,q_learning,2025-09-14_19-47-59
test_02000,Model_test_2000,250.0,2000,26,0,10.4,0.0,1000.0,0.0,14.0,0.0,14.0,0.0,,,0.0,0.0,0.7000000000000001,test_checkpoint,unknown,q_learning,2025-09-14_19-47-59
test_03000,Model_test_3000,250.0,3000,39,0,15.6,0.0,1000.0,0.0,65.0,0.0,65.0,0.0,,,0.0,0.0,0.6,test_checkpoint,unknown,q_learning,2025-09-14_19-47-59
test_04000,Model_test_4000,250.0,4000,217,0,86.8,0.0,1000.0,0.0,8.0,0.0,8.0,0.0,,,0.0,0.0,0.5,test_checkpoint,unknown,q_learning,2025-09-14_19-47-59
test_05000,Model_test_5000,250.0,5000,200,0,80.0,0.0,1000.0,0.0,39.0,0.0,39.0,0.0,,,0.0,0.0,0.4,test_checkpoint,unknown,q_learning,2025-09-14_19-47-59
test_06000,Model_test_6000,250.0,6000,250,0,100.0,0.0,1000.0,0.0,40.0,0.0,40.0,0.0,,,,,0.30000000000000004,test_checkpoint,unknown,q_learning,2025-09-14_19-47-59
test_01000,Model_test_1000,250.0,1000,38,0,15.2,0.0,1000.0,0.0,88.0,0.0,88.0,0.0,,,0.0,0.0,0.8,test_checkpoint,unknown,q_learning,2025-09-14_19-47-59
test_02000,Model_test_2000,250.0,2000,42,0,16.8,0.0,-100.0,0.0,100.0,0.0,100.0,0.0,,,0.0,0.0,0.7000000000000001,test_checkpoint,unknown,q_learning,2025-09-14_19-47-59
test_03000,Model_test_3000,250.0,3000,47,0,18.8,0.0,-100.0,0.0,100.0,0.0,100.0,0.0,,,0.0,0.0,0.6,test_checkpoint,unknown,q_learning,2025-09-14_19-47-59
test_04000,Model_test_4000,250.0,4000,81,0,32.4,0.0,-100.0,0.0,100.0,0.0,100.0,0.0,,,0.0,0.0,0.5,test_checkpoint,unknown,q_learning,2025-09-14_19-47-59
test_05000,Model_test_5000,250.0,5000,245,0,98.0,0.0,1000.0,0.0,28.0,0.0,28.0,0.0,,,0.0,0.0,0.4,test_checkpoint,unknown,q_learning,2025-09-14_19-47-59
test_01000,Model_test_1000,250.0,1000,20,0,8.0,0.0,-100.0,0.0,100.0,0.0,100.0,0.0,,,0.0,0.0,0.8,test_checkpoint,unknown,q_learning,2025-09-14_19-47-59
test_02000,Model_test_2000,250.0,2000,35,0,14.0,0.0,1000.0,0.0,30.0,0.0,30.0,0.0,,,0.0,0.0,0.7000000000000001,test_checkpoint,unknown,q_learning,2025-09-14_19-47-59
test_03000,Model_test_3000,250.0,3000,132,0,52.8,0.0,1000.0,0.0,47.0,0.0,47.0,0.0,,,0.0,0.0,0.6,test_checkpoint,unknown,q_learning,2025-09-14_19-47-59
test_04000,Model_test_4000,250.0,4000,250,0,100.0,0.0,-100.0,0.0,100.0,0.0,100.0,0.0,,,,,0.5,test_checkpoint,unknown,q_learning,2025-09-14_19-47-59
test_01000,Model_test_1000,250.0,1000,20,0,8.0,0.0,-100.0,0.0,100.0,0.0,100.0,0.0,,,0.0,0.0,0.8,test_checkpoint,unknown,q_learning,2025-09-14_19-47-59
test_02000,Model_test_2000,250.0,2000,102,0,40.8,0.0,-100.0,0.0,100.0,0.0,100.0,0.0,,,0.0,0.0,0.7000000000000001,test_checkpoint,unknown,q_learning,2025-09-14_19-47-59
test_03000,Model_test_3000,250.0,3000,79,0,31.6,0.0,-100.0,0.0,100.0,0.0,100.0,0.0,,,0.0,0.0,0.6,test_checkpoint,unknown,q_learning,2025-09-14_19-47-59
test_04000,Model_test_4000,250.0,4000,118,0,47.2,0.0,1000.0,0.0,9.0,0.0,9.0,0.0,,,0.0,0.0,0.5,test_checkpoint,unknown,q_learning,2025-09-14_19-47-59
test_05000,Model_test_5000,250.0,5000,250,0,100.0,0.0,1000.0,0.0,8.0,0.0,8.0,0.0,,,,,0.4,test_checkpoint,unknown,q_learning,2025-09-14_19-47-59
test_01000,Model_test_1000,250.0,1000,38,0,15.2,0.0,-100.0,0.0,100.0,0.0,100.0,0.0,,,0.0,0.0,0.8,test_checkpoint,unknown,q_learning,2025-09-14_19-47-59
test_02000,Model_test_2000,250.0,2000,31,0,12.4,0.0,-100.0,0.0,100.0,0.0,100.0,0.0,,,0.0,0.0,0.7000000000000001,test_checkpoint,unknown,q_learning,2025-09-14_19-47-59
test_03000,Model_test_3000,250.0,3000,178,0,71.2,0.0,-100.0,0.0,100.0,0.0,100.0,0.0,,,0.0,0.0,0.6,test_checkpoint,unknown,q_learning,2025-09-14_19-47-59
test_04000,Model_test_4000,250.0,4000,248,0,99.2,0.0,1000.0,0.0,7.0,0.0,7.0,0.0,,,0.0,0.0,0.5,test_checkpoint,unknown,q_learning,2025-09-14_19-47-59
final_15000,Model_final_15000,,15000,1379,0,34.475,0.0,279.225,522.815,77.743,35.005,35.441,28.692,,,0.0,0.0,0.5,final_result,unknown,q_learning,2025-09-14_19-47-59
final_15000,Model_final_15000,,15000,2566,0,42.767,0.0,370.433,544.214,71.934,37.075,34.375,27.373,,,0.0,0.0,0.30000000000000004,final_result,unknown,q_learning,2025-09-14_19-47-59
final_15000,Model_final_15000,,15000,1735,0,34.7,0.0,281.7,523.617,76.927,35.854,33.507,28.591,,,0.0,0.0,0.4,final_result,unknown,q_learning,2025-09-14_19-47-59
final_15000,Model_final_15000,,15000,2516,0,41.933,0.0,361.267,542.795,72.002,37.387,33.233,27.294,,,0.0,0.0,0.30000000000000004,final_result,unknown,q_learning,2025-09-14_19-47-59
final_15000,Model_final_15000,,15000,2552,0,42.533,0.0,367.867,543.833,71.213,37.706,32.319,26.651,,,0.0,0.0,0.30000000000000004,final_result,unknown,q_learning,2025-09-14_19-47-59
final_15000,Model_final_15000,,15000,2811,0,46.85,0.0,415.35,548.907,67.07,39.343,29.711,26.036,,,0.0,0.0,0.30000000000000004,final_result,unknown,q_learning,2025-09-14_19-47-59
final_15000,Model_final_15000,,15000,1772,0,35.44,0.0,289.84,526.164,79.171,31.886,41.226,25.272,,,0.0,0.0,0.4,final_result,unknown,q_learning,2025-09-14_19-47-59
final_15000,Model_final_15000,,15000,1137,0,28.425,0.0,212.675,496.162,83.229,29.896,41.0,25.548,,,0.0,0.0,0.5,final_result,unknown,q_learning,2025-09-14_19-47-59
final_15000,Model_final_15000,,15000,1869,0,37.38,0.0,311.18,532.193,75.942,35.087,35.638,26.448,,,0.0,0.0,0.4,final_result,unknown,q_learning,2025-09-14_19-47-59
final_15000,Model_final_15000,,15000,1211,0,30.275,0.0,233.025,505.393,82.013,31.394,40.588,28.184,,,0.0,0.0,0.5,final_result,unknown,q_learning,2025-09-14_19-47-59
