experiment_id,model_name,episodes,wins,winrate,avg_returns,std_returns,avg_episode_steps,std_episode_steps,avg_win_steps,std_win_steps,final_epsilon,epsilon_start,scenario,algorithm,timestamp
exp_001,Model_1,4000,362,12.067,32.733,358.313,23.08,5.438,9.086,4.729,0.35,0.5,tiny,q_learning,2025-07-06_18-45-25
exp_002,Model_2,4000,321,10.7,17.7,340.025,23.363,5.061,9.701,5.512,0.35,0.5,tiny,q_learning,2025-07-06_18-45-25
exp_003,Model_3,4000,342,11.4,25.4,349.592,23.274,5.194,9.863,5.801,0.35,0.5,tiny,q_learning,2025-07-06_18-45-25
exp_004,Model_4,4000,360,12.0,32.0,357.458,23.097,5.471,9.142,5.301,0.35,0.5,tiny,q_learning,2025-07-06_18-45-25
exp_005,Model_5,4000,362,12.067,32.733,358.313,23.099,5.458,9.249,5.36,0.35,0.5,tiny,q_learning,2025-07-06_18-45-25
exp_006,Model_6,4000,804,20.1,121.1,440.823,21.759,6.776,8.874,4.546,0.3,0.5,tiny,q_learning,2025-07-06_18-45-25
exp_007,Model_7,4000,375,12.5,37.5,363.791,22.987,5.622,8.899,5.103,0.35,0.5,tiny,q_learning,2025-07-06_18-45-25
exp_008,Model_8,4000,312,10.4,14.4,335.787,23.411,4.957,9.724,5.216,0.35,0.5,tiny,q_learning,2025-07-06_18-45-25
exp_009,Model_9,4000,391,13.033,43.367,370.337,22.999,5.45,9.645,4.777,0.35,0.5,tiny,q_learning,2025-07-06_18-45-25
exp_010,Model_10,4000,370,12.333,35.667,361.701,23.024,5.577,8.976,5.206,0.35,0.5,tiny,q_learning,2025-07-06_18-45-25
