experiment_id,model_name,episodes,wins,winrate,avg_returns,std_returns,avg_episode_steps,std_episode_steps,avg_win_steps,std_win_steps,final_epsilon,epsilon_start,scenario,algorithm,timestamp
exp_001,Model_1,6000,374,12.467,37.133,363.375,22.972,5.686,8.73,5.256,0.35,0.5,tiny,q_learning,2025-07-06_16-58-56
exp_002,Model_2,6000,904,22.6,148.6,460.063,21.221,7.271,8.279,4.187,0.3,0.5,tiny,q_learning,2025-07-06_16-58-56
exp_003,Model_3,6000,335,11.167,22.833,346.451,23.327,5.133,10.021,6.055,0.35,0.5,tiny,q_learning,2025-07-06_16-58-56
exp_004,Model_4,6000,356,11.867,30.533,355.735,23.057,5.56,8.626,4.923,0.35,0.5,tiny,q_learning,2025-07-06_16-58-56
exp_005,Model_5,6000,337,11.233,23.567,347.354,23.211,5.304,9.074,5.03,0.35,0.5,tiny,q_learning,2025-07-06_16-58-56
exp_006,Model_6,6000,895,22.375,146.125,458.432,21.234,7.283,8.169,4.14,0.3,0.5,tiny,q_learning,2025-07-06_16-58-56
exp_007,Model_7,6000,842,21.05,131.55,448.43,21.59,6.942,8.799,4.66,0.3,0.5,tiny,q_learning,2025-07-06_16-58-56
exp_008,Model_8,6000,320,10.667,17.333,339.558,23.389,5.048,9.897,5.929,0.35,0.5,tiny,q_learning,2025-07-06_16-58-56
exp_009,Model_9,6000,320,10.667,17.333,339.558,23.389,5.048,9.897,5.929,0.35,0.5,tiny,q_learning,2025-07-06_16-58-56
exp_010,Model_10,6000,817,20.425,124.675,443.468,21.823,6.644,9.444,4.854,0.3,0.5,tiny,q_learning,2025-07-06_16-58-56
